frame,track_id,class,u_px,v_px,image_region,image_lane,x_world_m,y_world_m,map_x,map_y,longitude,latitude,map_lane_code_raw,map_lane_code,map_lane_id,speed_kmh,raw_x_world_m,raw_y_world_m,raw_longitude,raw_latitude,output_filter_reason
280,3,target,819.8,310.9,down,down_L4,31.22,122.71,,,117.41818562,40.39883239,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,103.8,31.22,122.71,117.41501832,40.39875853,
281,3,target,821.0,312.0,down,down_L4,31.22,121.54,,,117.41817186,40.39883276,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,103.8,31.22,121.54,117.41503206,40.39875815,
282,3,target,822.4,312.9,down,down_L4,31.25,120.52,,,117.41815978,40.39883309,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,103.8,31.25,120.52,117.41504411,40.39875757,
283,3,target,823.7,314.1,down,down_L4,31.26,119.34,,,117.41814592,40.39883346,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,103.8,31.26,119.34,117.41505796,40.39875719,
284,3,target,825.1,315.3,down,down_L4,31.26,118.08,,,117.41813107,40.39883386,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,103.8,31.26,118.08,117.41507278,40.39875679,
285,3,target,826.2,316.1,down,down_L4,31.27,117.26,,,117.41812138,40.39883412,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,103.8,31.27,117.26,117.41508246,40.39875640,
286,3,target,828.0,317.2,down,down_L4,31.31,116.09,,,117.41810760,40.39883449,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,104.8,31.31,116.09,117.41509620,40.39875572,
287,3,target,829.5,318.6,down,down_L4,31.31,114.74,,,117.41809161,40.39883493,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,104.8,31.31,114.74,117.41511217,40.39875530,
288,3,target,830.6,320.0,down,down_L4,31.27,113.46,,,117.41807658,40.39883533,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,104.8,31.27,113.46,117.41512719,40.39875524,
289,3,target,832.0,321.3,down,down_L4,31.27,112.29,,,117.41806283,40.39883570,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,104.8,31.27,112.29,117.41514093,40.39875489,
290,3,target,833.6,322.3,down,down_L4,31.30,111.26,,,117.41805065,40.39883603,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,104.8,31.30,111.26,117.41515308,40.39875429,
291,3,target,835.0,323.5,down,down_L4,31.30,110.15,,,117.41803758,40.39883639,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,104.8,31.30,110.15,117.41516613,40.39875399,
