frame,track_id,class,u_px,v_px,image_region,image_lane,x_world_m,y_world_m,map_x,map_y,longitude,latitude,map_lane_code_raw,map_lane_code,map_lane_id,speed_kmh,raw_x_world_m,raw_y_world_m,raw_longitude,raw_latitude,output_filter_reason
225,1,target,1038.2,387.0,down,down_L2,23.07,91.71,,,117.41982738,40.39882075,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.5,23.07,91.71,117.41982836,40.39881993,
226,1,target,1035.3,385.5,down,down_L2,23.09,92.80,,,117.41981908,40.39882099,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.5,23.09,92.80,117.41981935,40.39882003,
227,1,target,1032.2,384.0,down,down_L2,23.08,93.87,,,117.41981086,40.39882123,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.5,23.08,93.87,117.41980977,40.39882039,
228,1,target,1029.5,382.5,down,down_L2,23.11,94.96,,,117.41980259,40.39882147,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.5,23.11,94.96,117.41980273,40.39882082,
229,1,target,1026.4,380.7,down,down_L2,23.14,96.24,,,117.41979282,40.39882175,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.3,23.14,96.24,117.41979474,40.39880579,
230,1,target,1023.7,378.9,down,down_L2,23.20,97.45,,,117.41978361,40.39882201,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.3,23.20,97.45,117.41979297,40.39881074,
231,1,target,1021.0,377.6,down,down_L2,23.21,98.47,,,117.41977586,40.39882224,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.3,23.21,98.47,117.41978442,40.39881112,
232,1,target,1018.7,376.5,down,down_L2,23.21,99.37,,,117.41976894,40.39882244,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.3,23.21,99.37,117.41977196,40.39881476,
233,1,target,1014.8,375.2,down,down_L2,23.13,100.62,,,117.41975945,40.39882271,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.3,23.13,100.62,117.41975870,40.39881520,
234,1,target,1012.0,373.8,down,down_L2,23.13,101.79,,,117.41975053,40.39882297,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.3,23.13,101.79,117.41974634,40.39881493,
235,1,target,1009.3,372.6,down,down_L2,23.11,102.79,,,117.41974294,40.39882319,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.3,23.11,102.79,117.41973345,40.39881177,
236,1,target,1007.0,371.1,down,down_L2,23.16,103.89,,,117.41973451,40.39882343,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.3,23.16,103.89,117.41972393,40.39880997,
237,1,target,1004.4,370.2,down,down_L2,23.11,104.80,,,117.41972761,40.39882363,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.2,23.11,104.80,117.41972452,40.39880759,
238,1,target,1002.2,369.1,down,down_L2,23.13,105.77,,,117.41972017,40.39882385,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.2,23.13,105.77,117.41972187,40.39880957,
239,1,target,1000.2,367.5,down,down_L2,23.20,106.89,,,117.41971169,40.39882409,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.2,23.20,106.89,117.41971354,40.39881401,
240,1,target,997.8,366.1,down,down_L2,23.24,108.01,,,117.41970310,40.39882434,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.2,23.24,108.01,117.41970267,40.39881584,
241,1,target,995.3,364.9,down,down_L2,23.24,109.09,,,117.41969485,40.39882459,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.2,23.24,109.09,117.41969213,40.39881493,
242,1,target,992.1,363.8,down,down_L2,23.17,110.29,,,117.41968577,40.39882485,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.2,23.17,110.29,117.41968301,40.39881073,
243,1,target,989.3,362.5,down,down_L2,23.16,111.50,,,117.41967648,40.39882511,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.1,23.16,111.50,117.41968061,40.39880958,
244,1,target,986.6,361.5,down,down_L2,23.13,112.60,,,117.41966813,40.39882535,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.1,23.13,112.60,117.41967827,40.39881415,
245,1,target,984.6,360.2,down,down_L2,23.17,113.68,,,117.41965989,40.39882558,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.1,23.17,113.68,117.41966851,40.39881446,
246,1,target,982.7,358.8,down,down_L2,23.24,114.80,,,117.41965138,40.39882581,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.1,23.24,114.80,117.41965327,40.39881873,
247,1,target,980.6,357.8,down,down_L2,23.24,115.75,,,117.41964409,40.39882602,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.1,23.24,115.75,117.41964293,40.39881916,
248,1,target,978.4,356.9,down,down_L2,23.21,116.74,,,117.41963657,40.39882623,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.1,23.21,116.74,117.41963255,40.39881875,
