frame,track_id,class,u_px,v_px,image_region,image_lane,x_world_m,y_world_m,map_x,map_y,longitude,latitude,map_lane_code_raw,map_lane_code,map_lane_id,speed_kmh,raw_x_world_m,raw_y_world_m,raw_longitude,raw_latitude,output_filter_reason,ModelHeight
249,3,target,788.9,283.8,down,down_L4,31.16,158.6,,,117.4186087,40.39882069,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.16,158.6,117.4145959,40.39877005,,573.939
250,3,target,790.1,284.7,down,down_L4,31.19,157.14,,,117.4185915,40.39882117,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.19,157.14,117.414613,40.39876941,,573.918
251,3,target,790.7,285.5,down,down_L4,31.17,155.96,,,117.4185776,40.39882156,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.17,155.96,117.4146269,40.39876923,,573.903
252,3,target,791.2,286.2,down,down_L4,31.14,154.96,,,117.4185657,40.39882189,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.14,154.96,117.4146387,40.39876914,,573.892
253,3,target,791.8,286.9,down,down_L4,31.13,153.87,,,117.418553,40.39882225,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.13,153.87,117.4146515,40.39876895,,573.878
254,3,target,792.7,287.6,down,down_L4,31.14,152.73,,,117.4185395,40.39882263,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.14,152.73,117.414665,40.39876851,,573.865
255,3,target,793.5,288.3,down,down_L4,31.13,151.64,,,117.4185267,40.39882299,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.13,151.64,117.4146778,40.39876824,,573.857
256,3,target,794.5,288.9,down,down_L4,31.17,150.74,,,117.4185161,40.39882329,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.17,150.74,117.4146883,40.39876762,,573.846
257,3,target,795.3,290,down,down_L4,31.12,149.13,,,117.4184971,40.39882383,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.12,149.13,117.4147073,40.39876753,,573.828
258,3,target,796.4,291,down,down_L4,31.13,147.76,,,117.4184809,40.39882429,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.13,147.76,117.4147235,40.39876703,,573.809
259,3,target,797.2,291.8,down,down_L4,31.11,146.55,,,117.4184666,40.39882469,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.11,146.55,117.4147378,40.39876681,,573.796
